-23.5447999963,-46.7408416602
-23.5435931437,-46.7383788585
-23.542839397,-46.7284610997
-23.5460699536,-46.7379936929
-23.5439145316,-46.7335656918
-23.54418301,-46.7283029421
-23.5411630161,-46.7375090144
-23.54278511,-46.729843221
-23.5461287886,-46.7377712326
-23.5341755128,-46.7327703896
-23.5489144667,-46.7285888546
-23.5407285286,-46.7249314899
-23.5392900924,-46.7252221657
-23.5451755466,-46.7381345358
-23.5447067347,-46.7307209947
-23.5470829454,-46.7246263134
-23.5423095825,-46.7240639902
-23.5452995622,-46.7400789823
-23.5470985927,-46.7249665471
-23.5496997923,-46.7344433025
-23.5463359285,-46.7303462408
-23.5506785197,-46.728238691
-23.5403613727,-46.7366224845
-23.5458767749,-46.7407621605
-23.5435654315,-46.725766396
-23.5474490951,-46.7360664235
-23.5404539827,-46.7275054678
-23.5486984908,-46.7339498444
-23.5414587594,-46.730494537
-23.5375705416,-46.7369780495
-23.5378324459,-46.734829306
-23.5477200223,-46.737707333
-23.53840392,-46.7391084377
-23.5386990678,-46.7336446857
-23.5447771679,-46.7398118286
-23.5367854943,-46.7312373403
-23.5474921632,-46.7258471296
-23.5380494894,-46.7365723923
-23.5426471327,-46.7407532534
-23.5462285547,-46.7314207484
-23.541872409,-46.735767868
-23.5417442293,-46.7380474266
-23.5447700964,-46.7354567546
-23.5438733415,-46.7257345001
-23.5369082322,-46.7381694002
-23.5480120495,-46.7372688099
-23.5450158329,-46.7330898823
-23.5443057998,-46.7385564126
-23.5428984545,-46.7380283508
-23.5404612257,-46.7282651218
-23.5451735881,-46.7387836212
-23.5420253078,-46.739706875
-23.5427760789,-46.7241707818
-23.5456790655,-46.7285947115
-23.5441656853,-46.7264918512
-23.545479518,-46.7344195046
-23.5514094328,-46.7307180988
-23.5396918385,-46.7357182457
-23.5381845792,-46.7292457056
-23.5453897297,-46.7297893449
-23.5454347919,-46.7270643171
-23.5416733892,-46.7389288775
-23.5506375819,-46.7339974418
-23.5481840066,-46.7354206009
-23.5383120629,-46.7364604017
-23.5363139239,-46.7369372785
-23.5445950945,-46.7268248181
-23.5415303612,-46.7285353693
-23.543132332,-46.7272244098
-23.5387081561,-46.7291423494
-23.5395887365,-46.730834456
-23.5426766694,-46.7279870858
-23.5357862232,-46.7276284987
-23.5471752692,-46.7357415082
-23.5475748418,-46.7362592987
-23.5513387192,-46.7318013797
-23.5360968536,-46.7375405831
-23.5396588813,-46.726812999
-23.5516745716,-46.7337333155
-23.53896437,-46.7333478049
-23.5421250953,-46.738439798
-23.5497521223,-46.7344193062
-23.549036224,-46.7321072142
-23.5461288427,-46.7372172108
-23.5414785695,-46.7271616598
-23.5372098041,-46.730311415
-23.5476734969,-46.7249887036
-23.5429455484,-46.7251747288
-23.5413662399,-46.7325974565
-23.5455231521,-46.727083114
-23.5378262612,-46.727717363
-23.5363266277,-46.7368154593
-23.5376669321,-46.7381533176
-23.5373997917,-46.7300307028
-23.549233335,-46.7308971076
-23.5409201424,-46.7293868056
-23.5420841164,-46.7283694317
-23.5477785557,-46.7317761573
-23.5357802461,-46.7376225884
